Temperature[C],Humidity[%],TVOC[ppb],eCO2[ppm],Raw H2,Raw Ethanol,Pressure[hPa],Fire Alarm
12.009,47.52,1155.0,413.0,12878.0,19434,938.805,Yes
24.64,53.07,1394.0,410.0,12954.0,19381,938.731,Yes
-3.924,43.07,122.0,400.0,12793.0,20607,937.334,No
15.769,13.42,29249.0,701.0,12657.0,18797,936.885,No
24.61,52.33,1145.0,617.0,12805.0,19439,939.054,Yes
-4.841,50.84,331.0,400.0,13092.0,19927,939.348,Yes
24.83,51.75,1170.0,549.0,12829.0,19438,938.922,Yes
-4.738,56.53,334.0,400.0,13098.0,19931,939.341,Yes
43.27,18.48,73.0,400.0,13543.0,21101,936.808,No
-5.577999999999999,53.89,1256.0,400.0,12994.0,19415,938.803,Yes
26.71,48.56,1117.0,400.0,12897.0,19455,938.742,Yes
21.91,57.8,687.0,824.0,12715.0,19564,939.145,Yes
-7.417999999999999,48.21,1396.0,432.0,12942.0,19371,938.702,Yes
20.622,53.72,1212.0,404.0,12906.0,19416,938.703,Yes
17.464000000000002,46.99,1004.0,568.0,12826.0,19474,939.002,Yes
26.8,48.45,1402.0,406.0,12971.0,19380,938.714,Yes
26.95,47.87,1379.0,407.0,12969.0,19386,938.694,Yes
18.5,56.12,349.0,400.0,13086.0,19917,939.332,Yes
26.94,46.65,879.0,400.0,13033.0,19507,938.726,Yes
27.06,47.72,1291.0,400.0,12946.0,19419,938.74,Yes
9.958,51.66,1067.0,643.0,12796.0,19459,939.076,Yes
3.34,54.71,322.0,400.0,13116.0,19898,939.679,Yes
-9.276,54.65,6.0,400.0,13272.0,20242,939.719,Yes
14.292,47.23,1164.0,413.0,12884.0,19442,938.79,Yes
20.755,31.52,10812.0,400.0,12847.0,19270,936.893,No
25.99,49.55,977.0,646.0,12800.0,19485,939.064,Yes
27.16,42.5,89.0,418.0,12774.0,20658,937.524,No
26.92,48.04,1354.0,400.0,12979.0,19387,938.709,Yes
13.639,53.13,1170.0,465.0,12863.0,19440,938.83,Yes
17.844,47.87,1122.0,410.0,12908.0,19451,938.703,Yes
24.64,53.21,1406.0,409.0,12971.0,19375,938.729,Yes
8.802,18.37,69.0,400.0,13545.0,21090,936.788,No
12.07,47.42,1118.0,406.0,12885.0,19456,938.792,Yes
43.4,29.66,5724.0,400.0,13043.0,19602,936.873,No
26.65,48.99,1373.0,401.0,12979.0,19386,938.709,Yes
18.6,49.01,3.0,400.0,13137.0,20037,939.6,No
-8.292,45.51,62.0,400.0,12808.0,20662,937.488,No
24.45,53.57,1352.0,413.0,12954.0,19387,938.716,Yes
27.092,56.51,16.0,400.0,13011.0,19922,939.749,No
46.31,15.8,577.0,400.0,13749.0,20608,936.636,No
24.48,53.66,1166.0,400.0,12898.0,19438,938.744,Yes
-7.491,48.23,44.0,400.0,13247.0,20177,939.659,Yes
-6.515,55.32,215.0,400.0,13142.0,20044,939.602,Yes
-6.917000000000001,53.61,60.0,400.0,13240.0,20152,939.653,Yes
14.842,42.22,191.0,430.0,12775.0,20526,937.409,No
-17.183,54.37,1333.0,400.0,12984.0,19393,938.689,Yes
22.669,52.22,22.0,416.0,12582.0,19652,939.813,No
19.71,54.86,0.0,400.0,13279.0,20254,939.723,Yes
17.85,49.45,4133.0,400.0,13227.0,19703,936.96,No
27.42,39.03,0.0,400.0,13411.0,21286,937.397,No
12.64,57.22,0.0,400.0,12759.0,19771,939.833,No
26.74,48.38,1364.0,408.0,12959.0,19386,938.739,Yes
20.57,52.42,331.0,400.0,13101.0,19934,939.337,Yes
7.338999999999999,46.67,1097.0,400.0,12991.0,19452,938.696,Yes
20.95,49.92,299.0,400.0,13116.0,19961,939.408,Yes
9.124,18.03,0.0,400.0,13592.0,21194,936.813,No
14.536,47.77,1130.0,457.0,12867.0,19452,938.868,Yes
20.66,47.57,1216.0,413.0,12910.0,19424,938.704,Yes
22.43,50.8,291.0,400.0,13147.0,19928,939.668,Yes
6.289,60.01,262.0,400.0,13148.0,19950,939.684,Yes
28.91,41.86,155.0,421.0,12776.0,20560,937.313,No
21.49,59.75,722.0,921.0,12664.0,19539,939.146,Yes
-14.905,48.24,1360.0,400.0,12975.0,19379,938.717,Yes
19.43,51.17,380.0,400.0,13046.0,19881,939.261,Yes
19.99,50.36,54.0,400.0,13202.0,20118,939.627,No
24.75,50.4,1107.0,663.0,12798.0,19460,939.071,Yes
14.398,53.01,1076.0,400.0,12906.0,19450,938.824,Yes
41.07,13.56,0.0,2494.0,12653.0,20325,930.951,Yes
37.52,17.73,336.0,3802.0,12491.0,19659,930.937,Yes
47.03,15.61,1210.0,400.0,13691.0,20364,936.691,No
12.83,49.41,35.0,400.0,12687.0,19719,939.801,No
13.214,48.36,1352.0,404.0,12935.0,19389,938.751,Yes
-5.224,55.2,350.0,400.0,13071.0,19909,939.266,Yes
27.69,46.71,75.0,400.0,12796.0,20647,937.434,No
25.28,44.67,0.0,400.0,13255.0,21201,937.481,No
16.99,52.48,73.0,400.0,13106.0,19974,939.604,No
-16.717,48.42,1450.0,433.0,12968.0,19365,938.705,Yes
14.277,40.7,60.0,423.0,12812.0,20699,937.49,No
18.89,53.66,265.0,400.0,13117.0,19994,939.513,Yes
18.74,55.33,371.0,400.0,13055.0,19898,939.272,Yes
20.783,53.51,1207.0,401.0,12916.0,19427,938.706,Yes
-2.698,52.98,1356.0,404.0,12952.0,19386,938.703,Yes
25.96,48.37,152.0,418.0,12775.0,20562,937.351,No
17.32,48.46,86.0,400.0,13099.0,19971,939.599,No
12.769,45.8,138.0,400.0,13168.0,20044,939.623,No
37.15,15.64,0.0,707.0,13228.0,20845,930.88,Yes
-4.119,49.83,296.0,400.0,13119.0,19972,939.423,Yes
-4.664,56.52,323.0,400.0,13101.0,19929,939.359,Yes
-7.718999999999999,55.79,155.0,400.0,13184.0,20108,939.662,Yes
-13.192,53.9,1404.0,413.0,12963.0,19389,938.725,Yes
27.02,47.5,1163.0,409.0,12886.0,19437,938.812,Yes
29.35,40.31,52.0,400.0,12836.0,20728,937.503,No
13.835,48.78,1120.0,400.0,12894.0,19447,938.74,Yes
-1.862,53.22,126.0,400.0,13217.0,20087,939.621,Yes
18.174,51.25,1210.0,417.0,12896.0,19428,938.724,Yes
12.024,53.54,1164.0,432.0,12872.0,19438,938.785,Yes
-3.1910000000000003,50.46,755.0,769.0,12754.0,19532,939.126,Yes
-8.418,53.17,57.0,400.0,13231.0,20161,939.68,Yes
-4.1610000000000005,51.62,275.0,400.0,13125.0,19996,939.454,Yes
16.435,51.75,1092.0,481.0,12858.0,19449,938.882,Yes
9.131,59.0,0.0,400.0,13405.0,20407,939.688,Yes
18.67,55.9,378.0,400.0,13048.0,19887,939.291,Yes
17.274,19.68,39479.0,775.0,12616.0,18639,936.861,No
-15.593,52.86,1402.0,415.0,12971.0,19379,938.73,Yes
20.36,58.92,200.0,400.0,13177.0,20018,939.694,Yes
16.85,56.2,0.0,400.0,13149.0,20047,939.609,No
21.81,58.52,215.0,400.0,13178.0,19997,939.695,Yes
21.2,61.24,917.0,968.0,12644.0,19505,939.138,Yes
19.99,53.66,25.0,400.0,13253.0,20185,939.673,Yes
27.08,47.51,1212.0,400.0,12917.0,19428,938.73,Yes
15.845,52.62,1195.0,404.0,12925.0,19414,938.748,Yes
-3.672,57.8,799.0,913.0,12667.0,19529,939.138,Yes
8.627,49.87,1126.0,648.0,12795.0,19451,939.09,Yes
16.56,47.72,1105.0,472.0,12851.0,19442,938.924,Yes
13.62,52.92,0.0,400.0,12725.0,19758,939.826,No
26.69,45.72,43.0,400.0,12829.0,20724,937.542,No
2.901,48.67,1287.0,400.0,13000.0,19418,938.821,Yes
16.891,47.65,1005.0,575.0,12829.0,19470,939.048,Yes
18.47,56.6,354.0,400.0,13078.0,19912,939.293,Yes
20.625,53.26,1132.0,541.0,12839.0,19448,938.878,Yes
-8.558,49.73,130.0,400.0,13193.0,20137,939.672,Yes
1.967,49.48,935.0,669.0,12793.0,19494,939.086,Yes
4.433,40.71,94.0,415.0,12783.0,20657,937.558,No
-17.612000000000002,47.68,1438.0,426.0,12966.0,19369,938.694,Yes
19.62,55.05,8.0,400.0,13257.0,20209,939.718,Yes
18.423,51.46,1038.0,577.0,12827.0,19473,939.039,Yes
20.603,52.27,1231.0,408.0,12912.0,19418,938.71,Yes
20.38,49.02,185.0,433.0,12768.0,20539,937.421,No
9.556,49.56,198.0,400.0,13137.0,19971,939.653,No
12.33,52.36,1277.0,400.0,12951.0,19413,938.755,Yes
26.75,47.99,1050.0,543.0,12839.0,19466,938.946,Yes
28.73,42.34,68.0,431.0,12795.0,20688,937.503,No
24.43,53.83,1360.0,400.0,12978.0,19389,938.705,Yes
-2.067,50.41,900.0,735.0,12766.0,19501,939.093,Yes
25.307,54.17,17.0,400.0,12774.0,19773,939.817,No
24.41,53.78,1367.0,417.0,12947.0,19387,938.685,Yes
52.88,12.86,2488.0,400.0,13530.0,20045,936.674,No
24.34,54.03,1358.0,421.0,12987.0,19391,938.784,Yes
12.075,48.7,1187.0,440.0,12865.0,19433,938.793,Yes
46.08,15.94,827.0,400.0,13698.0,20477,936.685,No
17.34,48.7,159.0,435.0,12775.0,20561,937.386,No
27.06,43.15,213.0,450.0,12756.0,20498,937.368,No
56.14,11.96,11558.0,400.0,13175.0,19268,936.719,No
25.57,53.83,1189.0,400.0,12963.0,19421,938.746,Yes
-11.428,53.77,1383.0,420.0,12953.0,19386,938.727,Yes
20.19,51.84,187.0,400.0,13187.0,20031,939.673,Yes
26.148000000000003,54.9,33.0,400.0,13091.0,19974,939.702,No
-10.818,23.44,60000.0,15801.0,11094.0,16196,936.885,No
-9.071,53.19,11.0,400.0,13259.0,20219,939.709,Yes
26.99,46.42,1005.0,400.0,13019.0,19477,938.729,Yes
13.132,44.04,156.0,419.0,12779.0,20564,937.372,No
58.87,17.97,60000.0,20641.0,10945.0,15903,936.788,No
27.81,39.21,0.0,400.0,13331.0,21286,937.484,No
16.33,54.65,55.0,400.0,13118.0,19995,939.649,No
18.19,49.26,1164.0,400.0,12933.0,19442,938.713,Yes
19.74,49.89,245.0,400.0,13127.0,20025,939.63,Yes
26.905,55.14,31.0,400.0,13057.0,19947,939.739,No
-4.363,47.79,123.0,413.0,12774.0,20595,937.414,No
20.733,48.01,0.0,400.0,13191.0,20119,939.624,No
-4.196000000000001,41.16,86.0,400.0,12788.0,20635,937.418,No
13.467,51.55,1151.0,472.0,12860.0,19437,938.817,Yes
54.48,12.52,2302.0,400.0,13597.0,20089,936.704,No
-20.249,50.72,1387.0,416.0,12972.0,19380,938.704,Yes
-0.313,47.76,1356.0,409.0,12962.0,19391,938.667,Yes
25.75,49.05,172.0,433.0,12767.0,20541,937.427,No
7.084,53.62,1266.0,400.0,13004.0,19415,938.815,Yes
-9.015,50.24,0.0,400.0,13267.0,20226,939.73,Yes
-10.227,53.08,1082.0,400.0,13032.0,19457,938.742,Yes
22.33,47.97,96.0,400.0,13227.0,20114,939.66,Yes
18.076,50.22,13.0,400.0,13210.0,20142,939.632,No
24.78,52.65,1191.0,410.0,12908.0,19430,938.7,Yes
16.775,47.68,1145.0,510.0,12847.0,19447,938.891,Yes
-7.486000000000001,48.27,34.0,400.0,13253.0,20175,939.666,Yes
24.95,51.16,1371.0,400.0,12985.0,19381,938.746,Yes
24.38,54.1,1186.0,400.0,12937.0,19439,938.719,Yes
7.245,62.09,266.0,400.0,13146.0,19951,939.664,Yes
26.6,47.66,998.0,641.0,12803.0,19474,939.082,Yes
25.07,31.06,77.0,848.0,13275.0,19900,931.11,Yes
23.31,54.1,986.0,730.0,12761.0,19491,939.075,Yes
-0.573,54.97,931.0,691.0,12779.0,19504,939.079,Yes
12.203,47.12,1143.0,421.0,12875.0,19444,938.826,Yes
20.221,53.1,1176.0,538.0,12837.0,19440,938.907,Yes
22.51,47.94,228.0,400.0,13166.0,19990,939.678,Yes
-18.272,18.38,60000.0,4574.0,11728.0,16752,936.796,No
3.638,47.73,1343.0,413.0,12944.0,19397,938.678,Yes
25.75,43.28,0.0,400.0,13253.0,21159,937.495,No
20.33,51.28,121.0,400.0,13214.0,20092,939.657,Yes
24.533,40.11,75.0,400.0,12833.0,20709,937.536,No
27.15,46.95,1067.0,479.0,12859.0,19468,938.908,Yes
19.656,21.25,25510.0,666.0,12680.0,18856,936.925,No
24.44,53.88,1360.0,407.0,12966.0,19380,938.753,Yes
9.581,49.0,196.0,400.0,13139.0,19976,939.646,No
28.15,44.54,58.0,400.0,12802.0,20673,937.501,No
18.67,54.66,297.0,400.0,13110.0,19965,939.429,Yes
25.89,48.48,162.0,429.0,12776.0,20570,937.381,No
17.455,47.82,1063.0,491.0,12858.0,19459,938.915,Yes
-18.625,47.6,1344.0,401.0,12965.0,19387,938.754,Yes
17.99,53.22,70.0,400.0,13191.0,20106,939.649,No
-3.377,57.8,732.0,743.0,12749.0,19538,939.147,Yes
-3.734,41.82,112.0,400.0,12792.0,20599,937.313,No
24.71,52.81,1400.0,412.0,12967.0,19379,938.69,Yes
26.51,49.21,1073.0,544.0,12838.0,19464,938.979,Yes
-21.534,48.75,1335.0,400.0,12970.0,19388,938.681,Yes
25.44,48.38,1394.0,429.0,12958.0,19381,938.709,Yes
24.34,54.09,1356.0,422.0,12982.0,19388,938.824,Yes
-1.22,50.38,889.0,694.0,12785.0,19517,939.062,Yes
54.38,19.09,32804.0,669.0,12676.0,18747,936.894,No
13.443,52.71,1147.0,461.0,12865.0,19431,938.795,Yes
20.511,53.07,1224.0,400.0,12909.0,19420,938.695,Yes
18.98,53.91,233.0,400.0,13130.0,20026,939.584,Yes
7.707000000000001,49.7,1002.0,400.0,13010.0,19480,938.699,Yes
13.748,42.07,168.0,400.0,13172.0,20983,937.02,No
20.352,50.93,1230.0,415.0,12918.0,19421,938.686,Yes
26.94,47.8,1170.0,400.0,12903.0,19442,938.733,Yes
17.739,51.27,3446.0,400.0,13224.0,19744,936.915,No
24.44,53.64,1343.0,400.0,12999.0,19396,938.757,Yes
19.13,47.34,148.0,400.0,13150.0,20029,939.65,No
-10.849,48.61,1281.0,400.0,12963.0,19405,938.729,Yes
26.9,48.09,1115.0,400.0,12929.0,19454,938.702,Yes
18.859,47.34,1195.0,400.0,12909.0,19434,938.704,Yes
25.35,48.45,1431.0,439.0,12970.0,19373,938.786,Yes
24.79,52.35,1291.0,410.0,12968.0,19407,938.712,Yes
24.73,52.46,1163.0,438.0,12868.0,19433,938.828,Yes
19.18,51.68,1009.0,564.0,12827.0,19478,938.985,Yes
27.091,56.23,18.0,400.0,13013.0,19919,939.735,No
26.963,52.06,1.0,400.0,12997.0,19927,939.739,No
17.298,48.79,1065.0,400.0,12907.0,19464,938.702,Yes
10.89,56.11,0.0,400.0,12507.0,19585,939.745,No
-21.666,50.49,1325.0,400.0,12978.0,19404,938.734,Yes
14.73,56.26,0.0,400.0,13095.0,19997,939.718,No
26.84,48.05,1318.0,400.0,12990.0,19394,938.811,Yes
14.092,40.55,26.0,400.0,13398.0,21142,937.042,No
-3.975,58.14,682.0,808.0,12721.0,19561,939.142,Yes
18.63,48.19,30.0,400.0,13211.0,20131,939.646,No
18.4,49.73,0.0,400.0,13142.0,20054,939.593,No
-5.547999999999999,53.97,1287.0,402.0,12995.0,19403,938.791,Yes
24.55,52.56,1084.0,586.0,12821.0,19463,939.045,Yes
24.85,52.0,1396.0,416.0,12957.0,19383,938.73,Yes
-7.181,41.14,74.0,400.0,12790.0,20646,937.445,No
0.8220000000000001,31.41,60000.0,1221.0,12385.0,18271,936.855,No
18.38,50.8,0.0,400.0,13144.0,20061,939.618,No
24.99,51.18,1381.0,429.0,12962.0,19381,938.762,Yes
29.8,39.12,56.0,429.0,12850.0,20734,937.559,No
3.161,50.01,288.0,400.0,13136.0,19928,939.668,Yes
24.458,54.79,43.0,400.0,13119.0,20014,939.609,No
26.96,47.9,1218.0,403.0,12919.0,19430,938.716,Yes
-22.004,54.18,1364.0,401.0,12970.0,19395,938.73,Yes
-10.714,51.63,1316.0,400.0,12968.0,19397,938.717,Yes
-7.552,51.22,47.0,400.0,13238.0,20172,939.671,Yes
9.054,48.43,1028.0,630.0,12807.0,19476,939.097,Yes
24.31,53.1,1130.0,636.0,12802.0,19452,939.071,Yes
37.53,15.08,379.0,3330.0,12513.0,20071,930.883,Yes
19.33,65.52,610.0,567.0,12864.0,19644,939.197,Yes
26.91,47.94,1346.0,400.0,12963.0,19387,938.755,Yes
24.968000000000004,48.46,47.0,400.0,13108.0,20003,939.608,No
31.43,56.34,3375.0,400.0,13232.0,19768,936.931,No
24.62,53.28,1207.0,400.0,12960.0,19431,938.724,Yes
15.39,55.84,20.0,400.0,13107.0,19997,939.673,No
20.288,53.83,1226.0,400.0,12912.0,19423,938.71,Yes
12.027,53.15,1218.0,440.0,12867.0,19422,938.805,Yes
6.061,53.22,1293.0,400.0,12961.0,19407,938.695,Yes
27.09,47.43,1174.0,400.0,12915.0,19440,938.672,Yes
24.85,51.87,1367.0,421.0,12963.0,19386,938.729,Yes
17.62,49.78,13.0,400.0,13104.0,19997,939.689,No
-20.912,47.89,1341.0,400.0,12969.0,19387,938.728,Yes
-4.849,41.38,113.0,400.0,12794.0,20605,937.343,No
26.36,50.8,1155.0,520.0,12844.0,19446,938.902,Yes
26.57,45.84,72.0,400.0,12784.0,20672,937.561,No
-0.446,47.42,1354.0,409.0,12955.0,19392,938.692,Yes
-7.526,55.7,191.0,400.0,13158.0,20073,939.651,Yes
12.008,52.17,1207.0,419.0,12874.0,19433,938.812,Yes
28.42,42.53,154.0,404.0,12789.0,20570,937.309,No
26.02,52.7,1287.0,401.0,12996.0,19398,938.791,Yes
28.42,42.52,106.0,400.0,12786.0,20616,937.412,No
26.4,50.81,1184.0,400.0,12932.0,19434,938.71,Yes
24.45,53.83,1182.0,401.0,12921.0,19427,938.716,Yes
-21.749,48.38,1394.0,429.0,12958.0,19381,938.709,Yes
24.45,53.6,1189.0,427.0,12875.0,19437,938.812,Yes
23.03,55.74,933.0,715.0,12762.0,19499,939.069,Yes
-7.013,42.88,90.0,411.0,12772.0,20635,937.441,No
21.5,60.82,594.0,531.0,12874.0,19661,939.237,Yes
24.57,53.31,1360.0,410.0,12982.0,19392,938.801,Yes
-5.015,48.18,132.0,415.0,12780.0,20585,937.34,No
21.18,61.88,0.0,400.0,13449.0,20438,939.6,Yes
-15.21,52.7,1343.0,400.0,12984.0,19394,938.73,Yes
26.48,48.79,961.0,400.0,13013.0,19493,938.728,Yes
26.177,40.54,65.0,410.0,12835.0,20719,937.571,No
1.495,40.93,54.0,400.0,12797.0,20688,937.57,No
-19.785,52.64,1335.0,413.0,12965.0,19390,938.772,Yes
-4.396,13.77,1203.0,400.0,13707.0,20374,936.684,No
19.68,62.82,612.0,558.0,12862.0,19644,939.222,Yes
26.65,48.05,1199.0,400.0,13039.0,19437,938.739,Yes
24.61,53.13,1151.0,400.0,12888.0,19437,938.769,Yes
-4.289,42.93,102.0,400.0,12789.0,20609,937.415,No
19.09,52.69,253.0,400.0,13126.0,20013,939.549,Yes
-9.087,55.41,46.0,400.0,13244.0,20209,939.692,Yes
11.12,54.74,14.0,405.0,12533.0,19624,939.784,No
7.706,49.49,992.0,637.0,12803.0,19478,939.088,Yes
54.85,20.77,38336.0,789.0,12608.0,18658,936.885,No
27.87,40.49,89.0,417.0,12771.0,20656,937.517,No
43.2,30.51,7100.0,400.0,12995.0,19508,936.869,No
26.46,50.23,1343.0,400.0,12987.0,19387,938.728,Yes
26.92,47.98,1254.0,410.0,12913.0,19426,938.712,Yes
17.457,47.05,1040.0,578.0,12822.0,19476,938.994,Yes
-5.78,49.9,211.0,400.0,13147.0,20051,939.608,Yes
26.96,47.61,1172.0,420.0,12875.0,19428,938.809,Yes
20.02,52.87,53.0,400.0,13236.0,20197,939.708,Yes
11.81,50.49,31.0,445.0,12545.0,19632,939.81,No
19.49,47.59,31.0,400.0,13144.0,20017,939.651,No
22.07,49.33,36.0,400.0,13261.0,20180,939.649,Yes
35.27,49.45,5770.0,400.0,13086.0,19594,936.914,No
-4.095,49.84,293.0,400.0,13120.0,19974,939.402,Yes
22.02,55.83,280.0,400.0,13128.0,19920,939.679,Yes
14.742,46.24,141.0,400.0,13169.0,20048,939.624,No
30.1,63.79,2137.0,400.0,13358.0,20076,937.037,No
25.19,49.55,1396.0,433.0,12969.0,19373,938.873,Yes
18.53,55.68,278.0,400.0,13117.0,19982,939.494,Yes
20.832,53.32,1017.0,513.0,12847.0,19473,938.902,Yes
19.86,57.58,347.0,400.0,13073.0,19923,939.283,Yes
-4.207,49.99,278.0,400.0,13124.0,19992,939.472,Yes
-4.176,53.81,119.0,400.0,13221.0,20099,939.646,Yes
17.402,53.64,1195.0,405.0,12922.0,19421,938.744,Yes
0.561,55.34,933.0,674.0,12785.0,19501,939.119,Yes
-4.276,47.57,120.0,400.0,12786.0,20596,937.311,No
19.36,51.86,0.0,400.0,13234.0,20172,939.606,No
26.92,47.82,1186.0,426.0,12872.0,19438,938.803,Yes
30.13,63.49,2195.0,400.0,13366.0,20062,937.037,No
18.034,43.15,154.0,423.0,12778.0,20570,937.419,No
58.03,11.14,8022.0,400.0,13301.0,19498,936.688,No
24.69,52.98,1203.0,404.0,12917.0,19428,938.721,Yes
19.533,46.98,1109.0,511.0,12848.0,19451,938.879,Yes
24.38,52.67,1004.0,630.0,12802.0,19480,939.107,Yes
16.512,53.51,72.0,400.0,13192.0,20106,939.638,No
26.57,49.44,1205.0,400.0,12926.0,19419,938.691,Yes
13.46,52.05,1208.0,467.0,12855.0,19432,938.809,Yes
-4.09,49.63,297.0,400.0,13112.0,19971,939.453,Yes
-4.103,56.37,284.0,400.0,13119.0,19979,939.44,Yes
34.48,16.65,301.0,2996.0,12515.0,20314,930.89,Yes
26.67,44.49,115.0,422.0,12775.0,20611,937.43,No
23.774,49.35,35.0,400.0,12653.0,19696,939.782,No
-7.682,55.0,32.0,400.0,13250.0,20187,939.676,Yes
18.897,47.95,1145.0,400.0,12933.0,19438,938.702,Yes
28.88,42.46,39.0,400.0,12837.0,20728,937.553,No
26.78,43.89,92.0,412.0,12777.0,20633,937.397,No
26.78,48.19,1346.0,419.0,12941.0,19389,938.685,Yes
27.01,47.36,1096.0,484.0,12856.0,19449,938.901,Yes
14.52,50.25,1.0,400.0,12853.0,19826,939.834,No
26.9,47.78,1379.0,412.0,12947.0,19384,938.695,Yes
-5.787000000000001,50.08,209.0,400.0,13141.0,20053,939.622,Yes
40.33,15.21,743.0,19783.0,11597.0,19402,930.931,Yes
1.987,53.74,1337.0,408.0,12991.0,19393,938.807,Yes
19.91,53.91,119.0,400.0,13223.0,20109,939.648,Yes
11.607,45.54,164.0,438.0,12763.0,20554,937.353,No
24.79,52.16,1107.0,493.0,12848.0,19445,938.893,Yes
10.446,47.58,1040.0,627.0,12806.0,19465,939.093,Yes
24.443,55.52,6.0,400.0,12702.0,19740,939.822,No
18.88,55.73,197.0,400.0,13151.0,20067,939.589,Yes
-8.781,48.69,59.0,400.0,13229.0,20163,939.684,Yes
24.65,52.9,1096.0,400.0,12946.0,19456,938.731,Yes
